source,original_skill,canonical_skill,similarity_score,mapping_method,status
Jobs,agile project management,agile project management,1.0,exact,accepted
Jobs,agile testing,agile testing,1.0,exact,accepted
Jobs,agile understanding,agile understanding,1.0,exact,accepted
Jobs,agile ux,agile,0.8996,semantic,accepted
Jobs,agile workflow management,agile workflow management,1.0,exact,accepted
Jobs,agile workflow oversight,agile workflow oversight,1.0,exact,accepted
Jobs,agile/scrum knowledge,agile knowledge,0.902,semantic,accepted
Jobs,agility,agility,1.0,exact,accepted
Jobs,ai and gameplay systems,gameplay systems,0.7798,semantic,review
Jobs,ai and machine learning in seo,ai and machine learning in seo,1.0,exact,accepted
Jobs,ai architecture,ai architecture,1.0,exact,accepted
Jobs,ai coding assistant mastery,ai coding assistants,0.8571,semantic,accepted
Jobs,ai coding assistant proficiency,ai coding assistants,0.8857,semantic,accepted
Jobs,ai coding assistant usage,ai coding assistants,0.8759,semantic,accepted
Jobs,"ai coding assistant usage (chatgpt, copilot)","ai coding assistant usage (chatgpt, copilot)",1.0,exact,accepted
Jobs,ai coding assistants,ai coding assistants,1.0,exact,accepted
Jobs,ai content tools,ai content tools,1.0,exact,accepted
Jobs,ai content tools awareness,ai content tools awareness,1.0,exact,accepted
Jobs,ai marketing tools,ai marketing tools,1.0,exact,accepted
Jobs,ai programming,ai programming,1.0,exact,accepted
Jobs,ai strategy,ai strategy,1.0,exact,accepted
Jobs,ai tool awareness,ai tool awareness,1.0,exact,accepted
Jobs,ai tools exposure,ai tools exposure,1.0,exact,accepted
Jobs,ai writing tool awareness,ai writing tool awareness,1.0,exact,accepted
Jobs,ai writing tool exposure,ai tools exposure,0.8521,semantic,accepted
Jobs,ai writing tools,ai writing tools,1.0,exact,accepted
Jobs,ai writing tools awareness,ai writing tool awareness,0.9767,semantic,accepted
Jobs,ai-assisted code evaluation,ai-assisted code evaluation,1.0,exact,accepted
Jobs,ai-assisted content creation,ai content tools,0.7705,semantic,review
Jobs,ai-assisted content optimization,ai-assisted content optimization,1.0,exact,accepted
Jobs,ai-assisted content tools,ai content tools,0.9143,semantic,accepted
Jobs,ai-assisted documentation,ai-assisted documentation,1.0,exact,accepted
Jobs,ai-assisted writing,ai writing tools,0.8356,semantic,review
Jobs,ai-assisted writing tools,ai writing tools,0.909,semantic,accepted
Jobs,ai-driven analytics,ai-driven analytics,1.0,exact,accepted
Jobs,ai-driven marketing,ai marketing tools,0.8393,semantic,review
Jobs,ai-driven marketing and personalization,ai marketing tools,0.7348,semantic,review
Jobs,ai-driven marketing solutions,ai marketing tools,0.8351,semantic,review
Jobs,ai-driven marketing strategies,ai marketing tools,0.807,semantic,review
Jobs,ai-driven marketing tools,ai marketing tools,0.9285,semantic,accepted
Jobs,ai-driven personalization,ai-driven personalization,1.0,exact,accepted
Jobs,ai-driven personalization and marketing automation,ai marketing tools,0.9408,semantic,accepted
Jobs,ai-driven seo insights,ai-driven seo tools,0.8619,semantic,accepted
Jobs,ai-driven seo tools,ai-driven seo tools,1.0,exact,accepted
Jobs,ai-enhanced analytics,ai-driven analytics,0.8658,semantic,accepted
Jobs,ai-powered analytics,ai-driven analytics,0.918,semantic,accepted
Jobs,ai-powered marketing personalization,ai marketing tools,0.7262,semantic,review
Jobs,ai-powered marketing solutions,ai marketing tools,0.8496,semantic,review
Jobs,ai-powered marketing tools,ai marketing tools,0.9297,semantic,accepted
Jobs,ai-powered seo analytics,ai-driven seo tools,0.8911,semantic,accepted
Jobs,ai-powered seo tools,ai-driven seo tools,0.9517,semantic,accepted
Jobs,ai/gameplay systems,gameplay systems,0.815,semantic,review
Jobs,ai/ml algorithms,ai/ml algorithms,1.0,exact,accepted
Jobs,ai/ml architecture,ai architecture,0.8575,semantic,accepted
Jobs,ai/ml frameworks,ai/ml frameworks,1.0,exact,accepted
Jobs,airflow,airflow,1.0,exact,accepted
Jobs,airflow basics,airflow,0.8696,semantic,accepted
Jobs,airflow fundamentals,airflow,0.8242,semantic,review
Jobs,ajax,ajax,1.0,exact,accepted
Jobs,ajax/json,ajax/json,1.0,exact,accepted
Jobs,alerting,alerting,1.0,exact,accepted
Jobs,alerting systems,alerting systems,1.0,exact,accepted
Course,algebra,algebra,1.0,exact,accepted
OBE,algorithm design,algorithm design,1.0,exact,accepted
Jobs,algorithm design,algorithm design,1.0,exact,accepted
Jobs,algorithms,algorithms,1.0,exact,accepted
Course,algorithms,algorithms,1.0,exact,accepted
Jobs,alm,alm,1.0,exact,accepted
Jobs,analysis,analysis,1.0,exact,accepted
Jobs,analytical skills,analytical skills,1.0,exact,accepted
Jobs,analytical thinking,analytical thinking,1.0,exact,accepted
Jobs,analytics,analytics,1.0,exact,accepted
Jobs,"analytics (ga, tableau)","analytics (ga, tableau)",1.0,exact,accepted
Jobs,"analytics (ga, tableau, mixpanel)","analytics (ga, tableau)",0.8554,semantic,accepted
Jobs,"analytics (ga4, looker studio)","analytics (ga4, looker studio)",1.0,exact,accepted
Jobs,"analytics (ga4, looker studio, search console)","analytics (ga4, looker studio)",0.9203,semantic,accepted
Jobs,"analytics (ga4, search console, looker studio)","analytics (ga4, looker studio)",0.9161,semantic,accepted
Jobs,"analytics (google analytics, tableau)","analytics (ga, tableau)",0.9497,semantic,accepted
Jobs,analytics and kpi tracking,analytics and kpi tracking,1.0,exact,accepted
Jobs,analytics and performance measurement,analytics and performance measurement,1.0,exact,accepted
Jobs,analytics and reporting,analytics,0.8677,semantic,accepted
Jobs,"analytics and reporting (ga, tableau, mixpanel)","analytics (ga, tableau)",0.8347,semantic,review
Jobs,"analytics and reporting (ga4, looker studio)","analytics (ga4, looker studio)",0.9356,semantic,accepted
Jobs,"analytics and reporting (ga4, looker studio, search console)","analytics (ga4, looker studio)",0.8719,semantic,accepted
Jobs,"analytics and reporting (google analytics, tableau, mixpanel)","analytics (ga, tableau)",0.7952,semantic,review
Jobs,analytics and roi optimization,analytics and roi optimization,1.0,exact,accepted
Jobs,analytics and roi reporting,analytics and roi reporting,1.0,exact,accepted
Jobs,analytics basics,analytics basics,1.0,exact,accepted
Jobs,android sdk,android sdk,1.0,exact,accepted
Jobs,android studio,android studio,1.0,exact,accepted
Jobs,angular,angular,1.0,exact,accepted
Course,angular,angular,1.0,exact,accepted
Jobs,angular basics,angular,0.8739,semantic,accepted
Jobs,angular/react,angular/react,1.0,exact,accepted
Jobs,angularjs,angularjs,1.0,exact,accepted
Jobs,animation,animation,1.0,exact,accepted
Jobs,animation basics,animation basics,1.0,exact,accepted
Jobs,animation direction,animation direction,1.0,exact,accepted
Jobs,animation fundamentals,animation basics,0.8522,semantic,accepted
Jobs,animation software,animation software,1.0,exact,accepted
Jobs,ansible,ansible,1.0,exact,accepted
Jobs,ansible awareness,ansible,0.8555,semantic,accepted
Jobs,ant,ant,1.0,exact,accepted
Jobs,antivirus,antivirus,1.0,exact,accepted
Jobs,antivirus tools,antivirus tools,1.0,exact,accepted
Jobs,anypoint platform,anypoint platform,1.0,exact,accepted
Course,apache,apache,1.0,exact,accepted
Jobs,apache kafka,apache kafka,1.0,exact,accepted
Jobs,apache nifi,apache nifi,1.0,exact,accepted
Jobs,apache nifi basics,apache nifi,0.9164,semantic,accepted
Jobs,apache spark,apache spark,1.0,exact,accepted
Jobs,apache spark basics,apache spark,0.9198,semantic,accepted
Jobs,apex,apex,1.0,exact,accepted
OBE,api,apis,0.9159,semantic,accepted
Jobs,api & microservices architecture,microservices,0.7686,semantic,review
Jobs,api & microservices design,microservices,0.7695,semantic,review
Jobs,"api & mobile testing: postman, soapui, appium","api testing: postman, soapui",0.8055,semantic,review
Jobs,api and microservices architecture,microservices,0.771,semantic,review
Jobs,api architecture,api design,0.8674,semantic,accepted
Jobs,api architecture and microservices,microservices,0.7723,semantic,review
Jobs,api automation,api automation,1.0,exact,accepted
Jobs,api design,api design,1.0,exact,accepted
Jobs,api design and microservices,microservices,0.7945,semantic,review
Jobs,api development,api development,1.0,exact,accepted
Jobs,api documentation,api documentation,1.0,exact,accepted
Jobs,api integration,api integration,1.0,exact,accepted
Jobs,api integration (openai/azure),api integration (openai/azure),1.0,exact,accepted
Jobs,api integration basics,api integration,0.9291,semantic,accepted
Jobs,api integration fundamentals,api integration,0.9128,semantic,accepted
Jobs,api testing,api testing,1.0,exact,accepted
Jobs,api testing advanced,api testing,0.9217,semantic,accepted
Jobs,api testing basics,api testing,0.9423,semantic,accepted
Jobs,"api testing: postman, soapui","api testing: postman, soapui",1.0,exact,accepted
Jobs,"api testing: postman, soapui, appium","api testing: postman, soapui",0.8967,semantic,accepted
Jobs,apis,apis,1.0,exact,accepted
Jobs,app performance optimization,app performance optimization,1.0,exact,accepted
Jobs,app store submission,app store submission,1.0,exact,accepted
Jobs,appdynamics,appdynamics,1.0,exact,accepted
Jobs,appium,appium,1.0,exact,accepted
Jobs,appium basics,appium,0.8721,semantic,accepted
Jobs,application design,application design,1.0,exact,accepted
Jobs,application development,application development,1.0,exact,accepted
Course,application development,application development,1.0,exact,accepted
Jobs,application performance monitoring,performance tracking,0.7416,semantic,review
Jobs,application security,application security,1.0,exact,accepted
Course,applied mathematics,applied mathematics,1.0,exact,accepted
Jobs,ar/vr design,ar/vr design,1.0,exact,accepted
Jobs,architecture design,architecture design,1.0,exact,accepted
Jobs,arcore advanced,arcore advanced,1.0,exact,accepted
Jobs,arcore basics,arcore basics,1.0,exact,accepted
Jobs,arduino basics,arduino basics,1.0,exact,accepted
Jobs,arduino/raspberry pi advanced,arduino/raspberry pi advanced,1.0,exact,accepted
Jobs,aria,aria,1.0,exact,accepted
Jobs,arkit advanced,arkit advanced,1.0,exact,accepted
Jobs,arkit basics,arkit basics,1.0,exact,accepted
Jobs,"arkit, arcore, vuforia","arkit, arcore, vuforia",1.0,exact,accepted
Jobs,arm templates,arm templates,1.0,exact,accepted
Jobs,art direction,art direction,1.0,exact,accepted
Jobs,artifact management,artifact management,1.0,exact,accepted
Jobs,artifact repository,artifact repository,1.0,exact,accepted
Jobs,artifactory,artifactory,1.0,exact,accepted
Jobs,asp.net,asp.net,1.0,exact,accepted
Jobs,asp.net basics,asp.net basics,1.0,exact,accepted
Jobs,asp.net core,.net core,0.8624,semantic,accepted
Jobs,asp.net mvc,mvc,0.8757,semantic,accepted
Jobs,assistive technologies,assistive technologies,1.0,exact,accepted
Jobs,async programming,async programming,1.0,exact,accepted
Jobs,atlassian suite,atlassian suite,1.0,exact,accepted
Jobs,attention to detail,attention to detail,1.0,exact,accepted
Jobs,audio production,audio production,1.0,exact,accepted
Course,audit,audit,1.0,exact,accepted
Jobs,authentication,authentication,1.0,exact,accepted
Jobs,authorization,authorization,1.0,exact,accepted
Jobs,autocad,autocad,1.0,exact,accepted
Jobs,autocad basics,autocad,0.905,semantic,accepted
Jobs,automation,automation,1.0,exact,accepted
Jobs,automation and scripting,automation scripts,0.9398,semantic,accepted
Jobs,"automation awareness: selenium, appium, cucumber","basic automation: selenium, appium, cucumber",0.8721,semantic,accepted
Jobs,automation scripting,automation scripts,0.9599,semantic,accepted
Jobs,automation scripts,automation scripts,1.0,exact,accepted
Jobs,automation strategy,automation,0.8882,semantic,accepted
Jobs,automation testing,test automation,0.9448,semantic,accepted
Jobs,automation tools,automation,0.8604,semantic,accepted
Jobs,"automation tools awareness: selenium, appium, cucumber","basic automation: selenium, appium, cucumber",0.8572,semantic,accepted
Jobs,automation with ansible,automation with ansible,1.0,exact,accepted
Jobs,"automation: selenium, appium, cucumber basic knowledge","basic automation: selenium, appium, cucumber",0.9333,semantic,accepted
Jobs,"automation: selenium, appium, cucumber, junit, testng","basic automation: selenium, appium, cucumber",0.8439,semantic,review
Jobs,"automation: selenium, appium, cucumber, testng","basic automation: selenium, appium, cucumber",0.8878,semantic,accepted
Jobs,aws,aws,1.0,exact,accepted
Course,aws,aws,1.0,exact,accepted
Jobs,aws & azure cloud,cloud basics,0.9416,semantic,accepted
Jobs,aws advanced,aws advanced,1.0,exact,accepted
Jobs,aws awareness,aws awareness,1.0,exact,accepted
Jobs,aws basics,aws basics,1.0,exact,accepted
Jobs,aws beginner,aws basics,0.8672,semantic,accepted
Jobs,aws big data services,aws big data services,1.0,exact,accepted
Jobs,aws cloud basics,cloud basics,0.8811,semantic,accepted
Jobs,aws codepipeline,aws codepipeline,1.0,exact,accepted
Jobs,aws emr,aws emr,1.0,exact,accepted
Jobs,aws fundamentals,aws basics,0.8707,semantic,accepted
Jobs,aws glue,aws glue,1.0,exact,accepted
Jobs,aws iam,aws,0.8532,semantic,accepted
Jobs,aws iot advanced,aws iot basics,0.9078,semantic,accepted
Jobs,aws iot basics,aws iot basics,1.0,exact,accepted
Jobs,aws lambda,aws lambda,1.0,exact,accepted
Jobs,aws multi-cloud,aws multi-cloud,1.0,exact,accepted
Jobs,aws networking,aws networking,1.0,exact,accepted
Jobs,aws redshift,aws redshift,1.0,exact,accepted
Jobs,aws s3,aws s3,1.0,exact,accepted
Jobs,aws s3 basics,aws s3,0.8679,semantic,accepted
Jobs,aws security,aws security,1.0,exact,accepted
Jobs,aws services,aws services,1.0,exact,accepted
Jobs,"aws, azure, gcp",cloud basics,0.9402,semantic,accepted
Jobs,"aws, azure, gcp advanced",cloud basics,0.9127,semantic,accepted
Jobs,"aws, azure, gcp expert",cloud basics,0.9225,semantic,accepted
Jobs,"aws, azure, gcp iot","aws, azure, gcp iot",1.0,exact,accepted
Jobs,aws/azure basics,cloud basics,0.9149,semantic,accepted
Jobs,axure,axure,1.0,exact,accepted
Jobs,azure,azure,1.0,exact,accepted
Course,azure,azure,1.0,exact,accepted
Jobs,azure advanced,azure advanced,1.0,exact,accepted
Jobs,azure awareness,azure awareness,1.0,exact,accepted
Jobs,azure basics,azure basics,1.0,exact,accepted
Jobs,azure big data services,azure big data services,1.0,exact,accepted
Jobs,azure cognitive services,azure cognitive services,1.0,exact,accepted
Jobs,azure data lake,azure data lake,1.0,exact,accepted
Jobs,azure devops,azure devops,1.0,exact,accepted
Jobs,azure fundamentals,azure fundamentals,1.0,exact,accepted
Jobs,azure iot advanced,azure iot basics,0.8711,semantic,accepted
Jobs,azure iot basics,azure iot basics,1.0,exact,accepted
Jobs,azure networking,azure networking,1.0,exact,accepted
Jobs,azure security,azure security,1.0,exact,accepted
Jobs,azure services,azure services,1.0,exact,accepted
Jobs,azure synapse,azure synapse,1.0,exact,accepted
Course,b2b sales,b2b sales,1.0,exact,accepted
Jobs,back-end technologies,back-end technologies,1.0,exact,accepted
Course,backend development,backend development,1.0,exact,accepted
Jobs,backlog grooming,backlog grooming,1.0,exact,accepted
Jobs,backup and recovery,backup and recovery,1.0,exact,accepted
Jobs,bamboo,bamboo,1.0,exact,accepted
Course,banking,banking,1.0,exact,accepted
Jobs,bash,bash,1.0,exact,accepted
Jobs,bash basics,bash basics,1.0,exact,accepted
Jobs,bash scripting,bash basics,0.7569,semantic,review
Jobs,bash scripting basics,bash basics,0.8646,semantic,accepted
Jobs,bash scripting expert,bash basics,0.7371,semantic,review
Jobs,"bash, powershell",powershell,0.8753,semantic,accepted
Jobs,"bash, powershell scripting",powershell,0.8317,semantic,review
Jobs,bash/shell scripting,bash basics,0.7389,semantic,review
Jobs,bash/zsh scripting,bash/zsh scripting,1.0,exact,accepted
Jobs,basic architecture design,architecture design,0.9003,semantic,accepted
Jobs,basic automation scripts,automation scripts,0.9594,semantic,accepted
Jobs,"basic automation: selenium webdriver, appium, cucumber","basic automation: selenium, appium, cucumber",0.9722,semantic,accepted
Jobs,"basic automation: selenium, appium, cucumber","basic automation: selenium, appium, cucumber",1.0,exact,accepted
Jobs,basic budgeting,budgeting,0.9174,semantic,accepted
Jobs,basic budgeting and resource allocation,budgeting,0.8022,semantic,review
Jobs,basic ci/cd,ci/cd,0.905,semantic,accepted
Jobs,basic ci/cd and devops exposure,basic ci/cd and devops exposure,1.0,exact,accepted
Jobs,basic ci/cd concepts,ci/cd,0.8448,semantic,review
Jobs,basic container orchestration knowledge,container orchestration,0.9279,semantic,accepted
Jobs,basic cryptography knowledge,cryptography,0.7941,semantic,review
Jobs,basic cryptography understanding,cryptography,0.752,semantic,review
Jobs,basic data analysis,data analysis,0.8516,semantic,accepted
Jobs,basic data analytics,analytics,0.7707,semantic,review
Jobs,basic debugging,debugging,0.9239,semantic,accepted
Jobs,basic erp/crm knowledge,erp/crm basics,0.8914,semantic,accepted
Jobs,basic figma,figma,0.8549,semantic,accepted
Jobs,basic html,html,0.8776,semantic,accepted
Jobs,basic javascript,javascript,0.899,semantic,accepted
Jobs,basic jenkins,jenkins,0.8507,semantic,accepted
Jobs,"basic knowledge of nmap, burp suite","basic knowledge of nmap, burp suite",1.0,exact,accepted
Jobs,"basic knowledge of project management methodologies (agile, scrum, waterfall)","basic knowledge of project management methodologies (agile, scrum, waterfall)",1.0,exact,accepted
Jobs,basic knowledge of waterfall and agile,basic knowledge of waterfall and agile,1.0,exact,accepted
Jobs,basic link building,link building,0.9301,semantic,accepted
Jobs,basic marketing automation,email automation,0.9582,semantic,accepted
Jobs,basic microservices understanding,microservices,0.8714,semantic,accepted
Jobs,"basic ml algorithms: regression, classification, clustering","basic ml: classification, clustering",0.8308,semantic,review
Jobs,"basic ml models: decision trees, k-means, logistic regression","basic ml: classification, clustering",0.9703,semantic,accepted
Jobs,"basic ml: classification, clustering","basic ml: classification, clustering",1.0,exact,accepted
Jobs,"basic ml: classification, regression, clustering","basic ml: classification, clustering",0.9112,semantic,accepted
Jobs,"basic ml: logistic regression, clustering, decision trees","basic ml: classification, clustering",0.7757,semantic,review
Jobs,"basic ml: logistic regression, decision trees, k-means","basic ml: classification, clustering",0.9703,semantic,accepted
Jobs,"basic ml: regression, classification, clustering","basic ml: classification, clustering",0.8756,semantic,accepted
Jobs,basic mobile app development,mobile development,0.8034,semantic,review
Jobs,"basic monitoring (nagios, grafana)","basic monitoring (nagios, grafana)",1.0,exact,accepted
Jobs,basic networking,networking,0.8595,semantic,accepted
Jobs,basic product management concepts,product management,0.8894,semantic,accepted
OBE,basic programming,programming,0.8525,semantic,accepted
Jobs,basic project planning,basic project planning,1.0,exact,accepted
Jobs,basic project planning and scheduling,basic project planning,0.8738,semantic,accepted
Jobs,basic rest api knowledge,rest api,0.8331,semantic,review
Jobs,basic routing,routing,0.9127,semantic,accepted
Jobs,basic security and compliance awareness,security compliance,0.8498,semantic,review
Jobs,basic security awareness,security compliance,0.9068,semantic,accepted
Jobs,basic seo,basic seo,1.0,exact,accepted
Jobs,basic seo knowledge,basic seo,0.8694,semantic,accepted
